folioviv,foliohog,ubica_geo,tam_loc,factor,clase_hog,sexo_jefe,edad_jefe,educa_jefe,tot_integ,ing_cor
0100113506,1,01001,1,130,3,1,40,09,2,77212.82999999999
0100154201,1,01001,1,226,1,2,64,08,1,16469.68
0100154203,1,01001,1,226,2,2,65,04,4,59528.8
0100154204,1,01001,1,226,2,1,68,04,2,36712.26
0100154205,1,01001,1,226,3,2,76,06,4,61359.07
0100154206,1,01001,1,226,1,2,66,04,1,11539.11
0100170501,1,01001,1,178,2,1,26,10,2,73618.01
0100170502,1,01001,1,178,1,1,32,11,1,111906.51
0100170503,1,01001,1,178,3,1,75,04,2,25331.4
0100170504,1,01001,1,178,1,2,75,03,1,11282.08
0100170505,1,01001,1,178,2,2,39,11,2,111627.91
0100170506,1,01001,1,178,2,1,29,03,4,14815
0100175303,1,01001,1,181,3,1,59,04,6,114342.02
0100175305,1,01001,1,181,3,2,51,04,11,75628.36
0100175306,1,01001,1,181,3,1,80,03,3,66979.52
0100186301,1,01001,1,190,3,1,49,09,10,86625.64
0100186303,1,01001,1,190,2,1,80,03,4,125839.02
0100186304,1,01001,1,190,2,1,83,04,2,38032.68
0100188902,1,01001,1,180,3,2,77,06,3,72302.06
0100188903,1,01001,1,180,2,1,48,06,4,58929.01
0100188904,1,01001,1,180,2,2,81,06,2,17843.36
0100188906,1,01001,1,180,3,2,65,04,3,24798.9
0100192801,1,01001,1,185,4,1,68,03,3,23016.38
0100192802,1,01001,1,185,2,1,28,10,4,64897.51
0100192803,1,01001,1,185,2,2,77,04,4,26283.69
0100192805,1,01001,1,185,3,1,79,03,5,85102.93999999999
0100192806,1,01001,1,185,1,1,39,07,1,23954.32
0100206401,1,01001,1,150,1,1,29,10,1,39180.73
0100206405,1,01001,1,150,2,1,36,09,3,36279.48
0100211002,1,01001,1,178,1,1,36,10,1,3423.91
0100211003,1,01001,1,178,1,1,52,09,1,71938.45000000001
0100211004,1,01001,1,178,2,2,70,06,2,74796.85000000001
0100211005,1,01001,1,178,2,2,49,10,4,170053.85
0100215601,1,01001,1,221,2,2,56,06,2,20969.48
0100215603,1,01001,1,221,1,1,23,09,1,37394.64
0100215603,2,01001,1,221,1,1,26,09,1,25724.81
0100215604,1,01001,1,221,2,2,70,04,4,95783.67999999999
0100215605,1,01001,1,221,2,1,85,09,2,45645.23
0100215606,1,01001,1,221,2,1,44,10,3,93846.53999999999
0100217901,1,01001,1,160,2,1,39,07,4,59137.42000000001
0100217902,1,01001,1,160,1,2,70,06,1,27754.2
0100217903,1,01001,1,160,3,2,67,08,7,142412.64
0100217904,1,01001,1,160,2,1,54,06,6,55690.6
0100217905,1,01001,1,160,3,2,62,06,2,20137.95
0100220702,1,01001,1,173,2,2,52,06,2,58721.29000000001
0100220703,1,01001,1,173,1,2,53,09,1,21860.63
0100220704,1,01001,1,173,2,1,52,10,3,129491.77
0100220705,1,01001,1,173,1,2,82,04,1,9238.16
0100220706,1,01001,1,173,2,1,63,06,2,31686.86
0100225001,1,01001,1,214,2,1,43,10,5,105314.18
0100225003,1,01001,1,214,1,1,82,04,1,16239.12
0100225004,1,01001,1,214,2,2,64,07,2,36378.67
0100225005,1,01001,1,214,1,2,68,09,1,87885.67999999999
0100239201,1,01001,1,160,3,1,69,04,3,42735.17
0100239202,1,01001,1,160,2,1,64,11,3,99917.23
0100239204,1,01001,1,160,2,2,52,06,2,27157.18
0100239206,1,01001,1,160,2,1,81,04,4,50477.60999999999
0100264801,1,01001,1,149,1,1,34,06,1,15816.38
0100264802,1,01001,1,149,3,1,24,10,3,109711.38
0100264803,1,01001,1,149,3,1,51,06,4,41072.58
0100264804,1,01001,1,149,3,1,57,04,6,24383.58
0100264805,1,01001,1,149,1,2,74,03,1,10612.7
0100264806,1,01001,1,149,2,1,74,04,3,72714.84
0100266501,1,01001,1,119,2,2,70,08,2,52304.91
0100266502,1,01001,1,119,3,2,81,04,5,79199.68999999999
0100266504,1,01001,1,119,2,1,46,06,3,22930.42
0100266505,1,01001,1,119,3,1,63,04,2,20672.46
0100272301,1,01001,1,128,2,1,41,07,4,49876.60999999999
0100272302,1,01001,1,128,3,1,77,03,3,34449.69
0100272303,1,01001,1,128,2,2,59,10,5,45489.08999999999
0100272304,1,01001,1,128,1,1,71,03,1,13290.14
0100272305,1,01001,1,128,1,1,80,04,1,36574.33
0100272306,1,01001,1,128,2,1,44,07,4,55624.34
0100295601,1,01001,1,204,1,2,65,06,1,64833.71
0100295602,1,01001,1,204,1,1,57,11,1,208819.66
0100295603,1,01001,1,204,2,2,29,09,3,40002.75
0100295604,1,01001,1,204,2,1,74,06,2,86638.5
0100295606,1,01001,1,204,2,1,49,10,5,109269.9
0100296701,1,01001,1,203,2,1,50,10,2,79327.84
0100296702,1,01001,1,203,2,2,71,06,2,18000
0100296703,1,01001,1,203,2,1,81,04,3,63706.7
0100296704,1,01001,1,203,2,2,71,04,2,93654.05
0100296705,1,01001,1,203,2,2,58,08,3,31138.51
0100296706,1,01001,1,203,2,1,59,11,7,89508.14
0100298201,1,01001,1,213,2,2,72,03,3,332449.28
0100298202,1,01001,1,213,2,2,65,06,2,102985.6
0100298203,1,01001,1,213,3,1,58,06,3,37835.96
0100298204,1,01001,1,213,2,1,41,08,4,61982.09
0100298205,1,01001,1,213,2,1,63,10,2,191440.64
0100298206,1,01001,1,213,2,1,62,09,2,97811.42000000001
0100309902,1,01001,1,180,2,1,68,06,2,28799.98
0100309904,1,01001,1,180,3,2,43,08,5,69435.28
0100309905,1,01001,1,180,3,1,63,04,6,204193.3
0100309906,1,01001,1,180,2,2,43,09,4,71565.59000000001
0100310804,1,01001,1,134,2,1,55,06,2,77507.84
0100310805,1,01001,1,134,1,1,19,08,1,27499.77
0100310806,1,01001,1,134,2,1,82,06,3,121166.92
0100317502,1,01001,1,216,2,1,63,10,4,178538.89
0100317503,1,01001,1,216,2,1,68,04,3,278951.94
0100317504,1,01001,1,216,2,2,47,06,3,23568.08
0100317505,1,01001,1,216,1,2,81,06,1,21906.97
0100317506,1,01001,1,216,2,1,73,11,2,135214.71
0100318301,1,01001,1,220,1,2,70,04,1,68430.83
0100318302,1,01001,1,220,3,1,79,03,4,31466.07
0100318303,1,01001,1,220,2,2,67,06,2,64044.02
0100318304,1,01001,1,220,2,1,19,09,2,31179.19
0100318305,1,01001,1,220,3,1,56,08,4,32652.57
0100318306,1,01001,1,220,5,1,30,09,2,53695.54000000001
0100320401,1,01001,1,186,1,1,68,04,1,20006.99
0100320402,1,01001,1,186,1,1,59,03,1,33426.06
0100320403,1,01001,1,186,3,2,71,08,3,52778.34999999999
0100320404,1,01001,1,186,2,1,47,06,3,27023.52
0100320405,1,01001,1,186,2,2,59,05,3,32807.35999999999
0100320406,1,01001,1,186,2,1,61,10,6,128392.45
0100322001,1,01001,1,177,2,2,63,08,3,96860.95999999999
0100322002,1,01001,1,177,2,1,42,06,3,57965.08
0100322004,1,01001,1,177,2,2,48,10,5,77282.53
0100322005,1,01001,1,177,2,1,81,04,3,63347.11
0100322006,1,01001,1,177,2,1,55,06,5,19854.24
0100327401,1,01001,1,140,2,1,43,06,4,91182.42000000001
0100327402,1,01001,1,140,2,1,87,03,2,15328.49
0100327403,1,01001,1,140,5,2,73,04,2,61802.5
0100327405,1,01001,1,140,3,1,42,06,7,150139.02
0100327406,1,01001,1,140,4,2,37,06,10,57599.05000000001
0100329601,1,01001,1,205,4,1,57,04,6,91229.46000000001
0100329602,1,01001,1,205,2,1,59,03,3,15803.76
0100329603,1,01001,1,205,2,1,66,08,2,23364.32
0100329604,1,01001,1,205,2,1,45,06,6,30597.33
0100329605,1,01001,1,205,3,1,68,10,4,146606.54
0100329606,1,01001,1,205,2,1,54,07,3,24408.53
0100331701,1,01001,1,180,1,2,57,04,1,17505.65
0100331703,1,01001,1,180,3,1,71,03,5,59256.49
0100331704,1,01001,1,180,2,2,61,04,3,35625.39
0100331706,1,01001,1,180,3,2,53,04,4,57650.69
0100344201,1,01001,1,195,2,1,90,01,2,22052.42
0100344202,1,01001,1,195,2,2,69,03,2,20324.32
0100344203,1,01001,1,195,2,1,73,06,3,66158.83
0100344204,1,01001,1,195,2,1,39,07,5,48392.03
0100344205,1,01001,1,195,1,2,75,03,1,15813.4
0100344206,1,01001,1,195,2,2,67,08,2,93755.24000000001
0100347501,1,01001,1,181,3,1,34,07,5,58240.57
0100347502,1,01001,1,181,3,1,68,10,6,91926.48000000001
0100347503,1,01001,1,181,2,1,64,08,3,46375.14
0100347504,1,01001,1,181,3,1,71,06,5,55474.93000000001
0100347505,1,01001,1,181,2,2,55,09,3,85960.71999999999
0100347506,1,01001,1,181,2,1,70,10,4,114761.8
0100360301,1,01001,1,181,3,2,69,06,2,24906.02
0100360303,1,01001,1,181,2,2,75,06,3,48602.28000000001
0100360304,1,01001,1,181,2,1,26,05,2,40487.58
0100360305,1,01001,1,181,3,1,64,07,7,72794.72
0100360306,1,01001,1,181,1,2,66,06,1,14186.33
